nivel_ruido,gases_toxicos,horas_turno,iluminacao,epis_usado,setor,clima,risco
97.0,8.831141302144902,8.0,513.0,não,pintura,moderado,alto
76.0,30.308021594674724,10.0,174.0,não,montagem,moderado,alto
95.0,39.43640634811992,9.0,761.0,sim,pintura,frio,alto
97.0,37.26170146162062,11.0,207.0,sim,montagem,moderado,alto
82.0,45.52608439499957,6.0,323.0,não,soldagem,moderado,alto
76.0,36.62050633429702,11.0,199.0,não,montagem,quente,alto
106.0,49.990289102367626,9.0,776.0,sim,,quente,alto
94.0,,11.0,744.0,sim,soldagem,moderado,alto
70.0,49.74265164830993,11.0,374.0,não,pintura,quente,alto
101.0,26.874747986029,6.0,273.0,não,,moderado,alto
71.0,4.035389762792324,9.0,584.0,não,pintura,frio,alto
94.0,40.221796495158166,6.0,772.0,sim,montagem,moderado,alto
85.0,44.30375127113464,8.0,294.0,não,montagem,quente,alto
71.0,22.410451986438158,8.0,911.0,sim,montagem,quente,baixo
97.0,7.442876333829035,7.0,552.0,sim,soldagem,quente,alto
78.0,46.84108830548992,11.0,967.0,sim,soldagem,frio,alto
109.0,45.062732411320994,11.0,953.0,sim,montagem,frio,alto
98.0,13.144900292777484,9.0,372.0,não,soldagem,moderado,alto
103.0,8.510049599665837,6.0,786.0,sim,montagem,quente,alto
96.0,4.685015114513003,8.0,522.0,não,soldagem,frio,alto
71.0,11.076276486761099,6.0,681.0,não,soldagem,quente,baixo
106.0,41.213591563630814,11.0,725.0,não,pintura,moderado,alto
102.0,29.149395688190317,8.0,947.0,sim,soldagem,frio,
105.0,24.15665350902147,6.0,165.0,,soldagem,quente,alto
85.0,44.95189297721849,9.0,690.0,sim,montagem,moderado,alto
101.0,17.08224690043171,6.0,204.0,não,montagem,quente,alto
116.0,23.31668255720362,8.0,805.0,sim,soldagem,moderado,alto
102.0,47.730957115171925,6.0,215.0,não,montagem,moderado,alto
74.0,13.825704162564778,8.0,930.0,sim,montagem,quente,baixo
104.0,34.60486608758185,,870.0,não,soldagem,moderado,alto
117.0,8.401483505001794,11.0,104.0,não,soldagem,moderado,alto
109.0,27.71990456632112,7.0,829.0,não,montagem,moderado,alto
102.0,42.5702004340477,10.0,953.0,sim,montagem,frio,alto
